Code,Name,Market
02196,Shanghai Fosun Pharmaceutical Group Co Ltd Class H,HKEX
02171,CARsgen Therapeutics Holdings Ltd,HKEX
02285,Chervon Holdings Ltd,HKEX
00667,China East Education Holdings Ltd,HKEX
06616,Global New Material International Holdings Ltd,HKEX
08137,Honbridge Holdings Ltd,HKEX
01907,China Risun Group Ltd,HKEX
06666,Evergrande Property Services Group Ltd,HKEX
02858,Yixin Group Ltd,HKEX
01385,Shanghai Fudan Microelectronics Group Co Ltd Class H,HKEX
00990,Deep Source Holdings Ltd,HKEX
02655,Guoxia Technology Co Ltd Class H,HKEX
06069,SY Holdings Group Ltd,HKEX
00354,Chinasoft International Ltd,HKEX
01478,Q Technology (Group) Co Ltd,HKEX
09879,Migao Group Holdings Ltd,HKEX
01117,China Modern Dairy Holdings Ltd,HKEX
03380,Logan Group Co Ltd,HKEX
